gen	nevals	avg    	std    	min     	max    
0  	80    	6.5045 	5.4663 	1.3978  	36.559 
1  	30    	10.7632	10.2387	1.89576 	54.6489
2  	22    	17.0414	13.2726	2.37739 	54.6489
3  	18    	22.0803	15.4058	0.364626	54.6489
4  	28    	26.53  	18.2539	0.809722	80.7427
5  	32    	30.3079	20.7222	0.630313	80.7427
6  	23    	38.496 	21.9525	0.3923  	80.7427
7  	18    	46.5982	20.9963	0.786799	80.7427
8  	30    	48.021 	25.6224	0.22328 	80.7427
9  	19    	54.9385	26.9244	0.357587	80.7427
10 	25    	55.7345	30.5142	0.264539	80.7427
11 	32    	55.2958	32.4341	0.46144 	89.7271
12 	26    	65.134 	27.5801	0.40302 	89.7271
13 	23    	66.526 	30.8137	0.272169	90.7005
14 	19    	70.0457	30.7502	0.615478	90.7005
15 	24    	66.1962	34.5558	0.627955	90.7005
16 	19    	71.3179	33.0242	1.58377 	90.7005
17 	20    	73.1919	32.3178	0.34526 	90.7005
18 	17    	75.02  	30.6114	0.743579	90.7005
19 	26    	70.4716	32.9854	0.465139	90.7005
20 	23    	70.2994	34.6962	0.388463	90.7005
21 	25    	71.1657	33.4722	0.366592	90.7005
22 	28    	70.0701	32.6738	0.454846	91.4767
23 	23    	67.0028	36.8282	0.438654	91.4767
24 	23    	74.7887	30.9447	0.519054	91.4826
25 	32    	64.6324	36.1515	0.387159	91.4826
26 	27    	71.4558	31.447 	0.414888	91.4826
27 	19    	72.0411	33.3988	0.460429	91.4826
28 	26    	70.9882	33.5909	0.370776	91.4826
29 	24    	74.1141	31.9968	0.444537	91.4826
30 	21    	72.6693	33.0336	0.410753	92.3974
31 	22    	70.9036	33.9716	0.388479	92.3974
32 	27    	67.5167	36.1693	0.39756 	96.9166
33 	34    	61.8646	39.2711	0.245016	107.777
34 	22    	72.1638	32.5051	0.695036	107.777
35 	16    	79.4747	29.0919	0.468717	107.777
36 	19    	74.9241	35.2974	0.590156	96.9166
37 	21    	74.1146	36.508 	0.581333	96.9166
38 	20    	81.2628	30.9298	0.731844	99.6926
39 	19    	77.8653	34.1954	0.541095	99.6926
40 	29    	74.5951	35.1568	0.553764	99.6926
