40.5 NA NA NA NA NA
120.5 NA NA NA NA NA
200.5 NA NA NA NA NA
280.5 NA NA NA NA NA
360.5 NA NA NA NA NA
440.5 NA NA NA NA NA
NA 520.5 NA NA NA NA
NA 600.5 NA NA NA NA
NA 680.5 NA NA NA NA
NA 760.5 NA NA NA NA
NA 840.5 NA NA NA NA
NA 920.5 NA NA NA NA
NA 1000.5 NA NA NA NA
NA NA 1080.5 NA NA NA
NA NA 1160.5 NA NA NA
NA NA 1240.5 NA NA NA
NA NA 1320.5 NA NA NA
NA NA 1400.5 NA NA NA
NA NA 1480.5 NA NA NA
NA NA 1560.5 NA NA NA
NA NA 1640.5 NA NA NA
NA NA NA 1720.5 NA NA
NA NA NA 1800.5 NA NA
NA NA NA 1880.5 NA NA
NA NA NA 1960.5 NA NA
NA NA NA 2040.5 NA NA
NA NA NA 2120.5 NA NA
NA NA NA 2200.5 NA NA
NA NA NA 2280.5 NA NA
NA NA NA NA 2360.5 NA
NA NA NA NA 2440.5 NA
NA NA NA NA 2520.5 NA
NA NA NA NA 2600.5 NA
NA NA NA NA 2680.5 NA
NA NA NA NA 2760.5 NA
NA NA NA NA 2840.5 NA
NA NA NA NA 2920.5 NA
NA NA NA NA 3000.5 NA
NA NA NA NA 3080.5 NA
NA NA NA NA 3160.5 NA
NA NA NA NA NA 3240.5
NA NA NA NA NA 3320.5
NA NA NA NA NA 3400.5
NA NA NA NA NA 3480.5
NA NA NA NA NA 3560.5
NA NA NA NA NA 3640.5
NA NA NA NA NA 3720.5
NA NA NA NA NA 3800.5
NA NA NA NA NA 3880.5
NA NA NA NA NA 3960.5
