gen	nevals	avg    	std    	min     	max    
0  	80    	11.1182	7.15766	0.99169 	36.7699
1  	27    	16.2516	8.53309	4.43803 	63.1494
2  	23    	19.6138	11.8084	5.29791 	63.1494
3  	19    	24.7921	13.652 	3.69719 	63.1494
4  	24    	28.7495	18.0054	5.01538 	69.1742
5  	26    	36.3465	22.1409	0.960474	78.6196
6  	27    	46.1225	22.6272	4.38625 	79.9944
7  	21    	55.9825	19.0819	5.43954 	79.9944
8  	21    	59.6882	19.8596	1.01779 	79.9944
9  	25    	62.8527	20.0972	6.28889 	79.9944
10 	28    	62.7645	23.0063	4.83352 	79.9944
11 	26    	66.3249	22.4795	4.0981  	86.5181
12 	20    	67.1276	23.3815	4.5794  	86.5181
13 	24    	66.058 	23.4561	8.39097 	86.5181
14 	21    	69.6101	20.0013	7.60171 	86.5181
15 	20    	68.7604	23.8225	5.55841 	86.5181
16 	19    	68.2244	24.1294	5.63235 	86.5181
17 	20    	71.8039	19.9837	6.69381 	86.5181
18 	17    	72.0545	22.2876	5.90844 	86.5181
19 	25    	65.6858	29.3733	4.45382 	86.5181
20 	24    	71.8049	23.1948	8.81324 	86.5181
21 	28    	70.4653	25.7881	4.98287 	86.5181
22 	31    	68.4397	27.3353	3.77867 	86.5181
23 	13    	76.0555	23.905 	5.50624 	86.5181
24 	24    	71.382 	27.0591	4.19033 	86.5181
25 	29    	66.5   	29.8712	5.03012 	86.5181
26 	16    	74.9664	24.5303	6.03389 	86.5181
27 	35    	63.9748	31.3679	5.59641 	86.5181
28 	26    	67.6813	28.8111	6.14298 	86.5181
29 	19    	73.9817	25.4463	3.41389 	86.5181
30 	22    	71.5464	26.8646	4.05221 	86.5181
31 	29    	66.3804	30.2002	3.57068 	86.5181
32 	24    	71.8338	26.3238	5.84377 	86.5181
33 	26    	69.2748	27.0235	3.83816 	86.5181
34 	25    	70.7402	25.9151	6.6402  	86.5181
35 	18    	73.3212	25.5803	3.69543 	86.5181
36 	23    	71.7343	25.4505	6.63743 	86.5181
37 	28    	68.6497	27.8945	3.94418 	86.5181
38 	21    	69.6544	28.7433	5.63583 	86.5181
39 	29    	68.5228	27.215 	5.23561 	86.5181
40 	30    	68.036 	27.419 	5.78639 	86.5181
41 	30    	66.4457	28.4845	4.5335  	86.5181
42 	17    	75.0544	23.8762	5.41048 	86.5181
43 	23    	67.7022	31.1331	5.90196 	86.5181
44 	19    	73.1852	23.5744	4.96782 	86.5181
45 	27    	69.3583	27.2228	4.36793 	86.5181
46 	22    	69.2072	29.3863	4.12252 	86.5181
47 	19    	71.1895	29.7467	5.8992  	86.5181
48 	22    	72.2465	26.3951	4.78659 	86.5181
49 	20    	76.1187	20.708 	8.61289 	86.5181
50 	23    	73.8802	24.0034	6.11963 	86.5181
51 	24    	68.8409	29.8911	4.52589 	86.5181
52 	17    	74.6402	24.7773	4.11531 	86.5181
53 	28    	67.1686	29.2244	5.85224 	86.5181
54 	27    	67.1356	30.3149	4.61557 	86.5181
55 	21    	72.776 	26.8277	5.66123 	86.5181
56 	22    	70.5538	28.987 	5.22309 	86.5181
57 	18    	72.8633	26.0613	5.36691 	86.5181
58 	24    	72.0541	25.4715	7.84564 	86.5181
59 	17    	76.2434	21.7794	6.04551 	86.5181
60 	21    	72.7589	25.6163	5.33082 	86.5181
61 	29    	68.6621	27.8305	4.16754 	86.5181
62 	24    	73.4523	24.2189	5.72714 	86.5181
63 	23    	68.6152	29.2171	6.25373 	86.5181
64 	19    	77.2855	20.5202	5.80705 	86.5181
65 	20    	75.3075	23.0525	5.30914 	86.5181
66 	21    	70.712 	28.7107	1.05734 	86.5181
67 	22    	76.8783	19.7901	5.62697 	86.5181
68 	14    	78.1937	20.3893	7.12676 	86.5181
69 	16    	76.0837	23.5221	6.44532 	86.5181
70 	18    	73.297 	27.3431	4.58671 	86.5181
71 	26    	69.9807	27.0621	6.05419 	86.5181
72 	16    	75.4659	24.4235	5.44833 	86.5181
73 	20    	74.6433	23.5811	5.54254 	86.5181
74 	19    	72.3735	26.3407	4.20013 	86.5181
75 	21    	69.4631	30.1264	4.58647 	86.5181
76 	20    	73.2063	25.5634	5.85867 	86.5181
77 	29    	69.4252	27.7514	3.75658 	86.5181
78 	25    	68.5586	28.786 	4.75058 	86.5181
79 	15    	74.8955	26.146 	5.56627 	86.5181
80 	28    	64.2545	32.6123	4.51164 	86.5181
81 	20    	69.9001	27.7765	5.35571 	86.5181
82 	21    	71.9043	26.1853	5.90945 	86.5181
83 	21    	73.6257	23.2803	7.72325 	86.5181
84 	20    	72.126 	26.5959	4.39299 	86.5181
85 	26    	71.7939	24.279 	6.55395 	86.5181
86 	16    	76.0001	22.9805	1.539   	86.5181
87 	25    	70.9363	26.2163	6.25099 	86.5181
88 	24    	71.182 	25.6166	5.59524 	86.5181
89 	16    	74.2138	25.7753	5.97463 	86.5181
90 	33    	66.2033	28.4997	4.95066 	86.5181
91 	26    	70.1765	28.3008	4.73785 	86.5181
92 	25    	67.6344	30.9707	6.16199 	86.5181
93 	23    	72.4452	24.9452	5.45049 	86.5181
94 	18    	73.9334	25.1294	5.71603 	86.5181
95 	21    	72.2677	27.1873	4.2283  	86.5181
96 	24    	71.7141	27.1499	1.06722 	86.5181
97 	20    	73.8806	25.1572	6.01856 	86.5181
98 	24    	72.273 	25.6121	4.68902 	86.5181
99 	19    	72.0511	27.4974	5.78545 	86.5181
100	24    	67.6875	31.0209	5.91115 	86.5181
